City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Kolo,PL,2022-01-07 17:24:58,52.2002,18.6387,32.23,65,100,12.12
137,Riyadh,SA,2022-01-07 17:24:59,24.6877,46.7219,53.74,25,83,6.71
138,Khandyga,RU,2022-01-07 17:24:59,62.6667,135.6,-37.86,100,91,2.04
139,Pangnirtung,CA,2022-01-07 17:25:59,66.1451,-65.7125,-18.54,97,100,3.85
140,Bowen,AU,2022-01-07 17:26:00,-20.0167,148.2333,75.42,83,42,7.76
141,Colac,AU,2022-01-07 17:26:00,-38.3333,143.5833,61.18,93,99,5.95
142,Namatanai,PG,2022-01-07 17:26:00,-3.6667,152.4333,78.06,81,100,3.74
143,Mantua,IT,2022-01-07 17:26:01,45.1667,10.7833,40.28,75,86,2.19
144,Fort-Shevchenko,KZ,2022-01-07 17:26:01,44.5086,50.263,45.21,77,84,8.46
145,Tasiilaq,GL,2022-01-07 17:26:02,65.6145,-37.6368,32.16,96,100,36.51
146,Kutum,SD,2022-01-07 17:26:02,14.2,24.6667,73.83,19,6,8.95
147,Bambous Virieux,MU,2022-01-07 17:26:03,-20.3428,57.7575,78.22,94,75,4.61
148,Jamestown,US,2022-01-07 17:26:03,42.097,-79.2353,21.09,80,100,5.99
149,Loiza,PR,2022-01-07 17:26:03,18.4313,-65.8802,84.2,67,40,18.41
150,New Norfolk,AU,2022-01-07 17:26:04,-42.7826,147.0587,62.65,85,100,1.99
151,Cap Malheureux,MU,2022-01-07 17:26:04,-19.9842,57.6142,78.48,84,100,7.7
152,Kruisfontein,ZA,2022-01-07 17:26:04,-34.0033,24.7314,69.89,92,100,13.8
153,Bahia Honda,CU,2022-01-07 17:26:05,22.9036,-83.1592,80.92,48,0,2.51
154,Zharkent,KZ,2022-01-07 17:26:05,44.1628,80.0,33.4,62,100,3.44
155,Yinchuan,CN,2022-01-07 17:26:05,38.4681,106.2731,27.46,75,100,1.81
156,Newport,GB,2022-01-07 17:26:06,51.5877,-2.9984,39.45,92,94,8.93
157,Ambilobe,MG,2022-01-07 17:26:06,-13.2,49.05,78.3,89,100,2.3
158,Esperance,AU,2022-01-07 17:26:06,-33.8667,121.9,58.84,81,18,15.5
159,Provideniya,RU,2022-01-07 17:26:07,64.3833,-173.3,14.27,77,7,11.77
160,Upernavik,GL,2022-01-07 17:26:07,72.7868,-56.1549,6.78,94,100,3.29
161,Sibolga,ID,2022-01-07 17:26:07,1.7427,98.7792,77.27,88,100,3.24
162,Cacapava Do Sul,BR,2022-01-07 17:26:08,-30.5122,-53.4914,84.58,27,0,10.4
163,Sakakah,SA,2022-01-07 17:26:08,29.9697,40.2064,60.37,34,24,9.75
164,Richards Bay,ZA,2022-01-07 17:26:09,-28.783,32.0377,76.19,79,100,8.39
165,Lagoa,PT,2022-01-07 17:26:09,39.05,-27.9833,58.35,60,66,8.86
166,Tezu,IN,2022-01-07 17:26:10,27.9167,96.1667,62.19,45,65,4.16
167,Ouesso,CG,2022-01-07 17:26:10,1.6136,16.0517,85.15,38,100,1.32
168,Beringovskiy,RU,2022-01-07 17:26:10,63.05,179.3167,5.81,96,100,12.21
169,San Juan,AR,2022-01-07 17:26:11,-31.5375,-68.5364,90.5,21,3,12.84
170,Puerto Ayora,EC,2022-01-07 17:26:11,-0.7393,-90.3518,82.36,73,41,7.27
171,Mehamn,NO,2022-01-07 17:26:12,71.0357,27.8492,24.98,73,40,10.36
172,Port Hardy,CA,2022-01-07 17:26:12,50.6996,-127.4199,33.76,80,81,14.34
173,Inuvik,CA,2022-01-07 17:26:12,68.3499,-133.7218,-14.44,94,100,21.54
174,Yabrud,SY,2022-01-07 17:26:13,33.9674,36.6574,42.46,66,0,2.01
175,Constitucion,CL,2022-01-07 17:26:13,-35.3333,-72.4167,71.56,61,8,10.89
176,Bengkulu,ID,2022-01-07 17:26:13,-3.8004,102.2655,77.63,87,100,3.4
177,Klaksvik,FO,2022-01-07 17:26:14,62.2266,-6.589,36.52,69,46,14.34
178,Hami,CN,2022-01-07 17:26:14,42.8,93.45,25.5,40,10,2.98
179,Coquimbo,CL,2022-01-07 17:26:14,-29.9533,-71.3436,67.73,68,20,14.97
180,Rome,US,2022-01-07 17:26:15,34.257,-85.1647,34.38,68,77,3.0
181,Avarua,CK,2022-01-07 17:25:43,-21.2078,-159.775,75.25,100,20,2.3
182,Tulum,MX,2022-01-07 17:21:16,20.2167,-87.4667,82.92,54,0,7.05
183,Colina,BR,2022-01-07 17:27:15,-20.7133,-48.5408,75.61,83,84,4.63
184,Baiao,BR,2022-01-07 17:27:15,-2.7906,-49.6717,88.41,54,95,4.0
185,Fukue,JP,2022-01-07 17:27:16,32.6881,128.8419,50.83,57,100,5.79
186,Banda Aceh,ID,2022-01-07 17:25:02,5.5577,95.3222,78.76,82,100,8.93
187,Uruzgan,AF,2022-01-07 17:27:16,32.8333,66.0,37.71,62,35,0.45
188,Novoagansk,RU,2022-01-07 17:27:17,61.9449,76.6625,18.1,93,100,21.72
189,Taganak,PH,2022-01-07 17:27:17,6.0833,118.3,75.34,79,13,9.37
190,Ariquemes,BR,2022-01-07 17:26:01,-9.9133,-63.0408,83.86,81,98,5.01
191,Saint-Philippe,RE,2022-01-07 17:27:18,-21.3585,55.7679,78.39,85,100,2.21
192,Beroroha,MG,2022-01-07 17:27:18,-21.6667,45.1667,78.48,74,84,4.09
193,Ilulissat,GL,2022-01-07 17:27:18,69.2167,-51.1,17.62,79,75,4.61
194,Lahad Datu,MY,2022-01-07 17:27:19,5.0268,118.327,74.44,95,22,4.97
195,San Jose,US,2022-01-07 17:27:19,37.3394,-121.895,54.72,84,100,1.01
196,San Patricio,US,2022-01-07 17:27:19,28.017,-97.5169,48.87,58,63,7.99
197,Tual,ID,2022-01-07 17:27:20,-5.6667,132.75,83.28,77,48,12.28
198,The Valley,AI,2022-01-07 17:27:20,18.217,-63.0578,84.06,65,40,16.11
199,Atbasar,KZ,2022-01-07 17:27:20,51.8,68.3333,31.86,95,100,22.26
200,Asmar,AF,2022-01-07 17:27:21,35.0333,71.3581,44.92,96,100,5.12
201,Ostrovnoy,RU,2022-01-07 17:27:21,68.0531,39.5131,22.37,83,100,24.47
202,Williston,US,2022-01-07 17:27:22,48.147,-103.618,10.81,77,100,5.01
203,Nan,TH,2022-01-07 17:27:22,18.8333,100.6667,66.11,68,12,0.18
204,Kirakira,SB,2022-01-07 17:27:22,-10.4544,161.9205,78.13,84,62,6.55
205,Kahului,US,2022-01-07 17:27:23,20.8947,-156.47,71.83,88,0,8.05
206,Necochea,AR,2022-01-07 17:27:23,-38.5473,-58.7368,94.03,23,81,3.71
207,Kardailovo,RU,2022-01-07 17:27:23,51.5386,53.9042,35.28,99,100,17.2
208,Suisun City,US,2022-01-07 17:27:24,38.2382,-122.0402,53.74,89,100,1.99
209,Kyren,RU,2022-01-07 17:27:24,51.6828,102.1408,6.73,97,99,1.86
210,Grindavik,IS,2022-01-07 17:27:24,63.8424,-22.4338,36.07,87,75,18.41
211,Dalbandin,PK,2022-01-07 17:27:25,28.8947,64.4101,48.63,64,26,2.66
212,Swansea,GB,2022-01-07 17:23:59,51.6208,-3.9432,39.83,75,95,3.0
213,Delfzijl,NL,2022-01-07 17:27:25,53.33,6.9181,39.97,90,65,4.0
214,Zaria,NG,2022-01-07 17:27:26,11.1113,7.7227,85.48,20,27,7.56
215,Coruripe,BR,2022-01-07 17:27:26,-10.1256,-36.1756,85.28,65,98,17.6
