City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Pangody,RU,65.85,74.4859,-16.89,100,86,6.91,overcast clouds
328,Zasheyek,RU,67.4066,32.5499,-3.15,100,86,3.96,overcast clouds
329,Ergani,TR,38.2653,39.7621,38.12,57,99,4.65,overcast clouds
330,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.78,78,89,4.34,overcast clouds
331,Fort Nelson,CA,58.8053,-122.7002,-38.61,74,20,0.0,few clouds
332,Dalby,AU,-27.1833,151.2667,86.7,67,98,16.8,overcast clouds
333,Goldap,PL,54.3063,22.3036,24.57,89,8,7.99,clear sky
334,Chongwe,ZM,-15.3292,28.682,67.51,93,100,3.47,overcast clouds
335,Huarmey,PE,-10.0681,-78.1522,69.4,90,58,8.28,broken clouds
336,Sibu,MY,2.3,111.8167,91.71,62,40,5.75,scattered clouds
337,Palmas Bellas,PA,9.2319,-80.0867,77.09,83,40,12.3,scattered clouds
338,Nome,US,64.5011,-165.4064,5.07,47,0,16.11,clear sky
339,Opuwo,NA,-18.0607,13.84,81.81,37,57,4.47,broken clouds
340,Zeya,RU,53.75,127.2667,-9.02,92,18,4.68,few clouds
341,Belmonte,BR,-15.8631,-38.8828,77.5,84,100,11.9,overcast clouds
342,Zhanaozen,KZ,43.3,52.8,37.38,52,48,18.97,scattered clouds
343,Kilimatinde,TZ,-5.85,34.95,82.99,38,100,7.23,overcast clouds
344,Bustamante,MX,26.5333,-100.5,62.64,71,0,6.4,clear sky
345,Japura,ID,-0.3167,102.35,84.76,74,99,5.06,overcast clouds
